Quarter,Time,Player,From,To,Team
Q3,0:00,April Brandley,GD,S,Giants
Q3,0:00,Matilda McDonell,S,GD,Giants
Q3,7:09,Jo Harten,GS,GA,Giants
Q3,7:09,Caitlin Bassett,S,GS,Giants
Q3,7:09,Kiera Austin,GA,WA,Giants
Q3,7:09,Maddie Hay,WA,S,Giants
Q4,0:00,April Brandley,S,GK,Giants
Q4,0:00,Sam Poolman,GK,S,Giants
Q4,6:14,April Brandley,GK,S,Giants
Q4,6:14,Sam Poolman,S,GK,Giants
Q4,7:14,Matilda McDonell,GD,S,Giants
Q4,7:14,April Brandley,S,GD,Giants
Q1,8:36,Kaitlyn Black,S,WD,Magpies
Q1,8:36,Melissa Bragg,WD,S,Magpies
Q1,13:25,Nyah Allen,S,GS,Magpies
Q1,13:25,Shimona Nelson,GS,S,Magpies
Q2,0:00,Nyah Allen,GS,S,Magpies
Q2,0:00,Kaitlyn Black,WD,S,Magpies
Q2,0:00,Shimona Nelson,S,GS,Magpies
Q2,0:00,Melissa Bragg,S,WD,Magpies
Q2,4:43,Kelly Altmann,C,WA,Magpies
Q2,4:43,Molly Jovic,WA,C,Magpies
Q2,10:10,Nyah Allen,S,GS,Magpies
Q2,10:10,Shimona Nelson,GS,S,Magpies
Q3,0:00,Shimona Nelson,S,GS,Magpies
Q3,0:00,Nyah Allen,GS,S,Magpies
Q3,10:44,Shimona Nelson,GS,S,Magpies
Q3,10:44,Emma Ryde,S,GS,Magpies
Q3,12:01,Matilda Garrett,S,GD,Magpies
Q3,12:01,Jodi Ann Ward,GD,S,Magpies
Q4,0:00,Matilda Garrett,GD,S,Magpies
Q4,0:00,Shimona Nelson,S,GS,Magpies
Q4,0:00,Jodi Ann Ward,S,GD,Magpies
Q4,0:00,Emma Ryde,GS,S,Magpies
Q4,9:32,Shimona Nelson,GS,S,Magpies
Q4,9:32,Emma Ryde,S,GS,Magpies
